IDCIDADE,NOME,UF
11,Alta Floresta D Oeste,RO
12,Ariquemes,RO
13,Cabixi,RO
14,Cacoal,RO
15,Cerejeiras,RO
16,Colorado do Oeste,RO
17,Corumbiara,RO
18,Costa Marques,RO
19,Espigão D Oeste,RO
20,Guajará-Mirim,RO
21,Jaru,RO
22,Ji-Paraná,RO
23,Machadinho D Oeste,RO
24,Nova Brasilândia D Oeste,RO
25,Ouro Preto do Oeste,RO
26,Pimenta Bueno,RO
27,Porto Velho,RO
28,Presidente Médici,RO
29,Rio Crespo,RO
30,Rolim de Moura,RO
31,Santa Luzia D Oeste,RO
32,Vilhena,RO
33,São Miguel do Guaporé,RO
34,Nova Mamoré,RO
35,Alvorada D Oeste,RO
36,Alto Alegre dos Parecis,RO
37,Alto Paraíso,RO
38,Buritis,RO
39,Novo Horizonte do Oeste,RO
40,Cacaulândia,RO
41,Campo Novo de Rondônia,RO
42,Candeias do Jamari,RO
43,Castanheiras,RO
44,Chupinguaia,RO
45,Cujubim,RO
46,Governador Jorge Teixeira,RO
47,Itapuã do Oeste,RO
48,Ministro Andreazza,RO
49,Mirante da Serra,RO
50,Monte Negro,RO
51,Nova União,RO
52,Parecis,RO
53,Pimenteiras do Oeste,RO
54,Primavera de Rondônia,RO
55,São Felipe D Oeste,RO
56,São Francisco do Guaporé,RO
57,Seringueiras,RO
58,Teixeirópolis,RO
59,Theobroma,RO
60,Urupá,RO
61,Vale do Anari,RO
62,Vale do Paraíso,RO
63,Acrelândia,AC
64,Assis Brasil,AC
65,Brasiléia,AC
66,Bujari,AC
67,Capixaba,AC
68,Cruzeiro do Sul,AC
69,Epitaciolândia,AC
70,Feijó,AC
71,Jordão,AC
72,Mâncio Lima,AC
73,Manoel Urbano,AC
74,Marechal Thaumaturgo,AC
75,Plácido de Castro,AC
76,Porto Walter,AC
77,Rio Branco,AC
78,Rodrigues Alves,AC
79,Santa Rosa do Purus,AC
80,Senador Guiomard,AC
81,Sena Madureira,AC
82,Tarauacá,AC
83,Xapuri,AC
84,Porto Acre,AC
85,Alvarães,AM
86,Amaturá,AM
87,Anamã,AM
88,Anori,AM
89,Apuí,AM
90,Atalaia do Norte,AM
91,Autazes,AM
92,Barcelos,AM
93,Barreirinha,AM
94,Benjamin Constant,AM
95,Beruri,AM
96,Boa Vista do Ramos,AM
97,Boca do Acre,AM
98,Borba,AM
99,Caapiranga,AM
100,Canutama,AM
101,Carauari,AM
102,Careiro,AM
103,Careiro da Várzea,AM
104,Coari,AM
105,Codajás,AM
106,Eirunepé,AM
107,Envira,AM
108,Fonte Boa,AM
109,Guajará,AM
110,Humaitá,AM
111,Ipixuna,AM
112,Iranduba,AM
113,Itacoatiara,AM
114,Itamarati,AM
115,Itapiranga,AM
116,Japurá,AM
117,Juruá,AM
118,Jutaí,AM
119,Lábrea,AM
120,Manacapuru,AM
121,Manaquiri,AM
122,Manaus,AM
123,Manicoré,AM
124,Maraã,AM
125,Maués,AM
126,Nhamundá,AM
127,Nova Olinda do Norte,AM
128,Novo Airão,AM
129,Novo Aripuanã,AM
130,Parintins,AM
131,Pauini,AM
132,Presidente Figueiredo,AM
133,Rio Preto da Eva,AM
134,Santa Isabel do Rio Negro,AM
135,Santo Antônio do Içá,AM
136,São Gabriel da Cachoeira,AM
137,São Paulo de Olivença,AM
138,São Sebastião do Uatumã,AM
139,Silves,AM
140,Tabatinga,AM
141,Tapauá,AM
142,Tefé,AM
143,Tonantins,AM
144,Uarini,AM
145,Urucará,AM
146,Urucurituba,AM
147,Amajari,RR
148,Alto Alegre,RR
149,Boa Vista,RR
150,Bonfim,RR
151,Cantá,RR
152,Caracaraí,RR
153,Caroebe,RR
154,Iracema,RR
155,Mucajaí,RR
156,Normandia,RR
157,Pacaraima,RR
158,Rorainópolis,RR
159,São João da Baliza,RR
160,São Luiz,RR
161,Uiramutã,RR
162,Abaetetuba,PA
163,Abel Figueiredo,PA
164,Acará,PA
165,Afuá,PA
166,Água Azul do Norte,PA
167,Alenquer,PA
168,Almeirim,PA
169,Altamira,PA
170,Anajás,PA
5575,Ananindeua,PA
172,Anapu,PA
173,Augusto Corrêa,PA
174,Aurora do Pará,PA
175,Aveiro,PA
176,Bagre,PA
177,Baião,PA
178,Bannach,PA
179,Barcarena,PA
180,Belém,PA
181,Belterra,PA
182,Benevides,PA
183,Bom Jesus do Tocantins,PA
184,Bonito,PA
185,Bragança,PA
186,Brasil Novo,PA
187,Brejo Grande do Araguaia,PA
188,Breu Branco,PA
189,Breves,PA
190,Bujaru,PA
191,Cachoeira do Piriá,PA
192,Cachoeira do Arari,PA
193,Cametá,PA
194,Canaã dos Carajás,PA
195,Capanema,PA
196,Capitão Poço,PA
197,Castanhal,PA
198,Chaves,PA
199,Colares,PA
200,Conceição do Araguaia,PA
201,Concórdia do Pará,PA
202,Cumaru do Norte,PA
203,Curionópolis,PA
204,Curralinho,PA
205,Curuá,PA
206,Curuçá,PA
207,Dom Eliseu,PA
208,Eldorado dos Carajás,PA
209,Faro,PA
210,Floresta do Araguaia,PA
211,Garrafão do Norte,PA
212,Goianésia do Pará,PA
213,Gurupá,PA
214,Igarapé-Açu,PA
215,Igarapé-Miri,PA
216,Inhangapi,PA
217,Ipixuna do Pará,PA
218,Irituia,PA
219,Itaituba,PA
220,Itupiranga,PA
221,Jacareacanga,PA
222,Jacundá,PA
223,Juruti,PA
224,Limoeiro do Ajuru,PA
225,Mãe do Rio,PA
226,Magalhães Barata,PA
227,Marabá,PA
228,Maracanã,PA
229,Marapanim,PA
230,Marituba,PA
231,Medicilândia,PA
232,Melgaço,PA
233,Mocajuba,PA
234,Moju,PA
235,Monte Alegre,PA
236,Muaná,PA
237,Nova Esperança do Piriá,PA
238,Nova Ipixuna,PA
239,Nova Timboteua,PA
240,Novo Progresso,PA
241,Novo Repartimento,PA
242,Óbidos,PA
243,Oeiras do Pará,PA
244,Oriximiná,PA
245,Ourém,PA
246,Ourilândia do Norte,PA
247,Pacajá,PA
248,Palestina do Pará,PA
249,Paragominas,PA
250,Parauapebas,PA
251,Pau D Arco,PA
252,Peixe-Boi,PA
253,Piçarra,PA
254,Placas,PA
255,Ponta de Pedras,PA
256,Portel,PA
257,Porto de Moz,PA
258,Prainha,PA
259,Primavera,PA
260,Quatipuru,PA
261,Redenção,PA
262,Rio Maria,PA
263,Rondon do Pará,PA
264,Rurópolis,PA
265,Salinópolis,PA
266,Salvaterra,PA
267,Santa Bárbara do Pará,PA
268,Santa Cruz do Arari,PA
269,Santa Isabel do Pará,PA
270,Santa Luzia do Pará,PA
271,Santa Maria das Barreiras,PA
272,Santa Maria do Pará,PA
273,Santana do Araguaia,PA
274,Santarém,PA
275,Santarém Novo,PA
276,Santo Antônio do Tauá,PA
277,São Caetano de Odivelas,PA
278,São Domingos do Araguaia,PA
279,São Domingos do Capim,PA
280,São Félix do Xingu,PA
281,São Francisco do Pará,PA
282,São Geraldo do Araguaia,PA
283,São João da Ponta,PA
284,São João de Pirabas,PA
285,São João do Araguaia,PA
286,São Miguel do Guamá,PA
287,São Sebastião da Boa Vista,PA
288,Sapucaia,PA
289,Senador José Porfírio,PA
290,Soure,PA
291,Tailândia,PA
292,Terra Alta,PA
293,Terra Santa,PA
294,Tomé-Açu,PA
295,Tracuateua,PA
296,Trairão,PA
297,Tucumã,PA
298,Tucuruí,PA
299,Ulianópolis,PA
300,Uruará,PA
301,Vigia,PA
302,Viseu,PA
303,Vitória do Xingu,PA
304,Xinguara,PA
305,Serra do Navio,AP
306,Amapá,AP
307,Pedra Branca do Amapari,AP
308,Calçoene,AP
309,Cutias,AP
310,Ferreira Gomes,AP
311,Itaubal,AP
312,Laranjal do Jari,AP
313,Macapá,AP
314,Mazagão,AP
315,Oiapoque,AP
316,Porto Grande,AP
317,Pracuúba,AP
318,Santana,AP
319,Tartarugalzinho,AP
320,Vitória do Jari,AP
321,Abreulândia,TO
322,Aguiarnópolis,TO
323,Aliança do Tocantins,TO
324,Almas,TO
325,Alvorada,TO
326,Ananás,TO
327,Angico,TO
328,Aparecida do Rio Negro,TO
329,Aragominas,TO
330,Araguacema,TO
331,Araguaçu,TO
332,Araguaína,TO
333,Araguanã,TO
334,Araguatins,TO
335,Arapoema,TO
336,Arraias,TO
337,Augustinópolis,TO
338,Aurora do Tocantins,TO
339,Axixá do Tocantins,TO
340,Babaçulândia,TO
341,Bandeirantes do Tocantins,TO
342,Barra do Ouro,TO
343,Barrolândia,TO
344,Bernardo Sayão,TO
345,Bom Jesus do Tocantins,TO
346,Brasilândia do Tocantins,TO
347,Brejinho de Nazaré,TO
348,Buriti do Tocantins,TO
349,Cachoeirinha,TO
350,Campos Lindos,TO
351,Cariri do Tocantins,TO
352,Carmolândia,TO
353,Carrasco Bonito,TO
354,Caseara,TO
355,Centenário,TO
356,Chapada de Areia,TO
357,Chapada da Natividade,TO
358,Colinas do Tocantins,TO
359,Combinado,TO
360,Conceição do Tocantins,TO
361,Couto Magalhães,TO
362,Cristalândia,TO
363,Crixás do Tocantins,TO
364,Darcinópolis,TO
365,Dianópolis,TO
366,Divinópolis do Tocantins,TO
367,Dois Irmãos do Tocantins,TO
368,Dueré,TO
369,Esperantina,TO
370,Fátima,TO
371,Figueirópolis,TO
372,Filadélfia,TO
373,Formoso do Araguaia,TO
374,Fortaleza do Tabocão,TO
375,Goianorte,TO
376,Goiatins,TO
377,Guaraí,TO
378,Gurupi,TO
379,Ipueiras,TO
380,Itacajá,TO
381,Itaguatins,TO
382,Itapiratins,TO
